Date,PolarityScore,SubjectivityScore
17/02/2019,0.069,0.397
18/02/2019,0.061,0.394
19/02/2019,0.069,0.392
20/02/2019,0.062,0.39
21/02/2019,0.071,0.38
22/02/2019,0.072,0.378
23/02/2019,0.082,0.405
24/02/2019,0.058,0.407
25/02/2019,0.08,0.402
26/02/2019,0.05,0.395
27/02/2019,0.071,0.392
28/02/2019,0.061,0.382
01/03/2019,0.075,0.381
02/03/2019,0.072,0.39
03/03/2019,0.113,0.426
04/03/2019,0.065,0.395
05/03/2019,0.074,0.378
06/03/2019,0.085,0.386
07/03/2019,0.063,0.385
08/03/2019,0.052,0.38
09/03/2019,0.088,0.398
10/03/2019,0.064,0.408
11/03/2019,0.071,0.384
12/03/2019,0.085,0.385
13/03/2019,0.067,0.368
14/03/2019,0.059,0.37
15/03/2019,0.075,0.38
16/03/2019,0.073,0.394
17/03/2019,0.064,0.386
18/03/2019,0.072,0.388
19/03/2019,0.076,0.395
20/03/2019,0.058,0.392
21/03/2019,0.069,0.367
22/03/2019,0.055,0.369
23/03/2019,0.067,0.386
24/03/2019,0.056,0.387
25/03/2019,0.057,0.387
26/03/2019,0.072,0.382
27/03/2019,0.078,0.388
28/03/2019,0.075,0.378
29/03/2019,0.076,0.373
30/03/2019,0.057,0.396
31/03/2019,0.073,0.352
01/04/2019,0.084,0.383
02/04/2019,0.073,0.381
03/04/2019,0.069,0.387
04/04/2019,0.06,0.38
05/04/2019,0.068,0.39
06/04/2019,0.066,0.391
07/04/2019,0.062,0.386
08/04/2019,0.08,0.389
09/04/2019,0.061,0.382
10/04/2019,0.058,0.373
11/04/2019,0.056,0.38
12/04/2019,0.051,0.378
13/04/2019,0.086,0.384
14/04/2019,0.053,0.375
15/04/2019,0.077,0.39
16/04/2019,0.072,0.387
17/04/2019,0.067,0.408
18/04/2019,0.056,0.38
19/04/2019,0.077,0.379
20/04/2019,0.066,0.412
21/04/2019,0.073,0.398
22/04/2019,0.059,0.394
23/04/2019,0.016,0.153
24/04/2019,0.066,0.384
25/04/2019,0.062,0.364
26/04/2019,0.061,0.386
27/04/2019,0.057,0.381
28/04/2019,0.076,0.388
29/04/2019,0.079,0.384
30/04/2019,0.058,0.373
01/05/2019,0.068,0.39
02/05/2019,0.067,0.371
03/05/2019,0.076,0.394
04/05/2019,0.104,0.419
05/05/2019,0.06,0.407
06/05/2019,0.051,0.371
07/05/2019,0.07,0.38
08/05/2019,0.053,0.375
09/05/2019,0.05,0.371
10/05/2019,0.062,0.357
11/05/2019,0.067,0.369
12/05/2019,0.062,0.395
13/05/2019,0.063,0.381
14/05/2019,0.06,0.372
15/05/2019,0.064,0.385
16/05/2019,0.063,0.385
17/05/2019,0.058,0.373
18/05/2019,0.083,0.414
19/05/2019,0.068,0.406
20/05/2019,0.073,0.39
21/05/2019,0.058,0.373
22/05/2019,0.055,0.374
23/05/2019,0.085,0.38
24/05/2019,0.077,0.379
25/05/2019,0.073,0.397
26/05/2019,0.073,0.371
27/05/2019,0.076,0.389
28/05/2019,0.074,0.382
29/05/2019,0.045,0.369
30/05/2019,0.068,0.393
31/05/2019,0.06,0.378
01/06/2019,0.048,0.339
02/06/2019,0.071,0.383
03/06/2019,0.07,0.391
04/06/2019,0.07,0.398
05/06/2019,0.05,0.374
06/06/2019,0.043,0.386
07/06/2019,0.049,0.376
08/06/2019,0.065,0.384
09/06/2019,0.078,0.403
10/06/2019,0.072,0.396
11/06/2019,0.055,0.375
12/06/2019,0.049,0.385
13/06/2019,0.051,0.381
14/06/2019,0.05,0.399
15/06/2019,0.059,0.402
16/06/2019,0.071,0.369
17/06/2019,0.055,0.38
18/06/2019,0.07,0.39
19/06/2019,0.074,0.389
20/06/2019,0.068,0.391
21/06/2019,0.054,0.388
22/06/2019,0.064,0.371
23/06/2019,0.066,0.392
24/06/2019,0.064,0.391
25/06/2019,0.071,0.383
26/06/2019,0.06,0.382
27/06/2019,0.069,0.373
28/06/2019,0.052,0.388
29/06/2019,0.071,0.389
30/06/2019,0.071,0.375
01/07/2019,0.066,0.382
02/07/2019,0.061,0.388
03/07/2019,0.054,0.385
04/07/2019,0.067,0.385
05/07/2019,0.063,0.373
06/07/2019,0.1,0.401
07/07/2019,0.097,0.401
08/07/2019,0.059,0.384
09/07/2019,0.059,0.384
10/07/2019,0.059,0.377
11/07/2019,0.075,0.388
12/07/2019,0.063,0.39
13/07/2019,0.058,0.378
14/07/2019,0.072,0.383
15/07/2019,0.057,0.38
16/07/2019,0.071,0.39
17/07/2019,0.061,0.379
18/07/2019,0.039,0.375
19/07/2019,0.049,0.376
20/07/2019,0.079,0.402
21/07/2019,0.06,0.369
22/07/2019,0.048,0.375
23/07/2019,0.061,0.381
24/07/2019,0.046,0.37
25/07/2019,0.055,0.378
26/07/2019,0.05,0.378
27/07/2019,0.076,0.388
28/07/2019,0.084,0.392
29/07/2019,0.045,0.387
30/07/2019,0.051,0.389
31/07/2019,0.048,0.378
01/08/2019,0.038,0.371
02/08/2019,0.046,0.366
03/08/2019,0.071,0.381
04/08/2019,0.058,0.396
05/08/2019,0.048,0.38
06/08/2019,0.065,0.376
07/08/2019,0.064,0.384
08/08/2019,0.068,0.389
09/08/2019,0.084,0.382
10/08/2019,0.089,0.375
11/08/2019,0.046,0.377
12/08/2019,0.075,0.388
13/08/2019,0.045,0.376
14/08/2019,0.065,0.373
15/08/2019,0.043,0.372
16/08/2019,0.048,0.383
17/08/2019,0.066,0.394
18/08/2019,0.075,0.382
19/08/2019,0.069,0.375
20/08/2019,0.048,0.376
21/08/2019,0.047,0.371
22/08/2019,0.049,0.375
23/08/2019,0.06,0.379
24/08/2019,0.111,0.43
25/08/2019,0.069,0.392
26/08/2019,0.063,0.372
27/08/2019,0.073,0.388
28/08/2019,0.04,0.373
29/08/2019,0.05,0.387
30/08/2019,0.062,0.391
31/08/2019,0.076,0.373
01/09/2019,0.054,0.36
02/09/2019,0.073,0.389
03/09/2019,0.05,0.375
04/09/2019,0.06,0.381
05/09/2019,0.024,0.144
06/09/2019,0.051,0.375
07/09/2019,0.095,0.372
08/09/2019,0.059,0.385
09/09/2019,0.071,0.386
10/09/2019,0.082,0.386
11/09/2019,0.08,0.38
12/09/2019,0.065,0.384
13/09/2019,0.054,0.387
14/09/2019,0.076,0.397
15/09/2019,0.072,0.395
16/09/2019,0.047,0.394
17/09/2019,0.034,0.383
18/09/2019,0.049,0.393
19/09/2019,0.056,0.388
20/09/2019,0.076,0.378
21/09/2019,0.086,0.402
22/09/2019,0.062,0.363
23/09/2019,0.062,0.378
24/09/2019,0.064,0.371
25/09/2019,0.053,0.37
26/09/2019,0.069,0.38
27/09/2019,0.039,0.371
28/09/2019,0.074,0.393
29/09/2019,0.075,0.378
30/09/2019,0.051,0.38
01/10/2019,0.061,0.376
02/10/2019,0.063,0.373
03/10/2019,0.064,0.384
04/10/2019,0.06,0.376
05/10/2019,0.076,0.378
06/10/2019,0.059,0.403
07/10/2019,0.055,0.377
08/10/2019,0.064,0.394
09/10/2019,0.055,0.366
10/10/2019,0.046,0.368
11/10/2019,0.057,0.378
12/10/2019,0.085,0.416
13/10/2019,0.078,0.375
14/10/2019,0.075,0.389
15/10/2019,0.073,0.391
16/10/2019,0.064,0.383
17/10/2019,0.056,0.377
18/10/2019,0.069,0.378
19/10/2019,0.071,0.396
20/10/2019,0.077,0.388
21/10/2019,0.077,0.379
22/10/2019,0.064,0.366
23/10/2019,0.069,0.37
24/10/2019,0.06,0.373
25/10/2019,0.063,0.377
